"MISSION","SETNO","SPECIES_CODE","SCIENTIFIC_NAME","COMMON_NAME","NUMBER_CAUGHT","BIOMASS","COMMENTS"
"BOF2011001",6,300,"Myoxocephalus octodecemspinosus","longhorn sculpin",5,1300,""
"BOF2011001",6,63,"Osmerus mordax","smelt",26,366,""
"BOF2011001",6,2211,"Pandalus borealis","northern shrimp",145,1945,""
"BOF2011001",6,2212,"Pandalus montagui","Montague shrimp",928,2980,""
"BOF2011001",6,701,"Peprilus triacanthus","butterfish ",3,182,""
"BOF2011001",6,4321,"Placopecten magellanicus","deep sea scallop",13,108.67,""
"BOF2011001",6,43,"Pseudopleuronectes americanus","winter flounder",50,10796,""
"BOF2011001",6,,"Rajella bathyphilus","deepwater ray",1,6,""
"BOF2011001",6,31,"Reinhardtius hippoglossoides","Greenland halibut",1,639,""
"BOF2011001",6,12,"Urophycis tenuis","white hake",14,3382,""
"BOF2011001",7,6109,"Asterias forbesi","Forbes sea star",17,76,""
"BOF2011001",7,,"Asterias vulgaris","northern sea star",1,170,""
"BOF2011001",7,60,"Clupea harengus","herring",807,8828.58,""
"BOF2011001",7,6115,"Ctenodiscus crispatus","mud star",1,22,""
"BOF2011001",7,10,"Gadus morhua","Atlantic cod",2,16,""
"BOF2011001",7,320,"Hemitripterus americanus","sea raven",1,316,""
"BOF2011001",7,40,"Hippoglossoides platessoides","American plaice",3,302,""
"BOF2011001",7,2550,"Homarus americanus","American lobster",77,42938.26,""
"BOF2011001",7,,"Isodycta palmata","palmate sponge",9,760,""
"BOF2011001",7,2319,"Lebbeus groenlandicus","Greenland shrimp",2,3,""
"BOF2011001",7,,"Lepiodonotus squamatus","scale worm",1,,""
"BOF2011001",7,11,"Melanogrammus aeglefinus","haddock",33,422,""
"BOF2011001",7,14,"Merluccius bilinearis","silver hake",1,84,""
"BOF2011001",7,63,"Osmerus mordax","smelt",222,3623.04,""
"BOF2011001",7,701,"Peprilus triacanthus","butterfish ",3,20,""
"BOF2011001",7,4321,"Placopecten magellanicus","deep sea scallop",1343,6272,""
"BOF2011001",7,43,"Pseudopleuronectes americanus","winter flounder",134,7222.6,""
"BOF2011001",7,12,"Urophycis tenuis","white hake",6,110,""
"BOF2011001",7,,"Urticina felina","northern red anemone",1,12,""
"BOF2011001",8,62,"Alosa pseudoharengus","alewife",24,697,""
"BOF2011001",8,,"Ascidiacea","unidentified tunicate",4,48,""
"BOF2011001",8,4338,"Astarte castanea","chestnut astarte",47,,""
"BOF2011001",8,6109,"Asterias forbesi","Forbes sea star",1,10,""
"BOF2011001",8,,"Asterias vulgaris","northern sea star",6,346,""
"BOF2011001",8,4342,"Clinocardium ciliatum","Iceland cockle",3,,""
"BOF2011001",8,60,"Clupea harengus","herring",928,12360.96,""
