"MISSION","SETNO","STATION","DATETIME_START","DATETIME_FINISH","LATITUDE_START","LONGITUDE_START","LATITUDE_FINISH","LONGITUDE_FINISH","DEPTH_START","DEPTH_FINISH","SPEED","DEPTH_TRWL_AVE","TEMP_TRWL_AVE"
"BOF2013001",1,"A",12-JUL-13,12-JUL-13,45.1039,-67.1049,45.0952,-67.0999,27.2,19.6,2.4,23.58,10.61
"BOF2013001",2,"D",12-JUL-13,12-JUL-13,45.0138,-66.7596,44.9963,-66.7607,45.7,55.4,2.4,50.28,8.69
"BOF2013001",3,"D",12-JUL-13,12-JUL-13,44.9132,-66.8558,44.8954,-66.8539,88.5,111.6,2.4,92.96,8.5
"BOF2013001",4,"D",01-AUG-13,01-AUG-13,44.9939,-66.7893,44.9773,-66.7881,59.6,75.5,2.7,66.52,9.22
"BOF2013001",5,"D",01-AUG-13,01-AUG-13,44.8676,-66.8817,44.8742,-66.8782,67.5,65.8,2.2,64.57,9.26
"BOF2013001",6,"D",01-AUG-13,01-AUG-13,44.8913,-66.8768,44.907,-66.8835,79.6,65.5,2.3,71.69,9.37
"BOF2013001",7,"B",02-AUG-13,02-AUG-13,45.0678,-66.9349,45.0803,-66.9444,70.4,70.2,2.4,80.79,11.3
"BOF2013001",8,"B",02-AUG-13,02-AUG-13,45.1118,-66.9664,45.0972,-66.9688,27.8,36.2,2.2,35.21,11.5
"BOF2013001",9,"C",29-AUG-13,29-AUG-13,44.9871,-67.0339,45.0038,-67.0451,64.37376,51.93792,2.2,,
"BOF2013001",10,"C",29-AUG-13,29-AUG-13,45.0165,-67.0085,45.0142,-67.0373,32.735519999999994,40.96512,2.5,,
"BOF2013001",11,"B",29-AUG-13,29-AUG-13,45.0658,-66.9352,45.083,-66.9357,70.22592,52.85232,2.1,,
"BOF2013001",12,"D",09-DEC-13,09-DEC-13,45.0045,-66.7366,45.0139,-66.8192,46.451519999999995,36.576,2.1,,
"BOF2013001",13,"D",09-DEC-13,09-DEC-13,44.9353,-66.8565,44.9509,-66.8631,90.34272,97.29216000000001,2.1,,
"BOF2013001",14,"C",13-SEP-13,13-SEP-13,45.0196,-67.0156,45.0069,-67.031,29.2608,41.87952,2.2,,
"BOF2013001",15,"C",13-SEP-13,13-SEP-13,45.0438,-66.987,45.0268,-66.984,25.05456,32.735519999999994,2.2,,
"BOF2013001",16,"D",11-OCT-13,11-OCT-13,44.9051,-66.8659,44.8886,-66.8671,78.08976,93.2688,2.3,86.95,11.3
"BOF2013001",17,"D",11-OCT-13,11-OCT-13,45.0205,-66.7474,45.0195,-66.7235,45.17136,50.657759999999996,2.8,48.76,11.8
"BOF2013001",18,"C",12-OCT-13,12-OCT-13,45.004,-67.0202,45.0143,-67.0272,38.4048,29.07792,2.4,31.23,12.31
"BOF2013001",19,"B",12-OCT-13,12-OCT-13,45.111,-66.9664,45.0972,-66.9816,24.140159999999998,32.552640000000004,2.4,31.33,12.54
"BOF2012001",1,"D",05-JUL-12,05-JUL-12,44.9959,-66.758,45.0037,-66.7309,58.704480018127946,58.521600018071474,2.6,,
"BOF2012001",2,"C",05-JUL-12,05-JUL-12,45.0089,-67.0405,44.9986,-67.0211,54.86400001694201,45.72000001411834,2.7,,
"BOF2012001",3,"B",06-JUL-12,06-JUL-12,45.0812,-66.9378,45.1022,-66.9413,56.32704001739379,21.39696000660738,2.7,35.77,10.7
"BOF2012001",4,"A",09-AUG-12,09-AUG-12,45.1318,-67.1265,45.1251,-67.1223,27.066240008358058,27.432000008471004,2.6,,
"BOF2012001",5,"A",09-AUG-12,09-AUG-12,45.0668,-67.088,45.0512,-67.0773,25.420320007849796,25.60320000790627,2.2,,
"BOF2012001",6,"B",09-AUG-12,09-AUG-12,45.1195,-66.9324,45.1236,-66.9565,12.435840003840188,17.55648000542144,2.2,,
"BOF2012001",7,"B",10-AUG-12,10-AUG-12,45.0808,-66.9458,45.0928,-66.9641,64.00800001976567,35.661600011012304,2.2,,
"BOF2012001",8,"D",06-SEP-12,06-SEP-12,44.9018,-66.8699,44.8808,-66.8767,75.71232002337996,72.96912002253286,2.9,,
"BOF2012001",9,"D",06-SEP-12,06-SEP-12,44.997,-66.7722,44.9756,-66.7816,55.41264001711143,74.98080002315407,2.3,,
"BOF2012001",10,"D",06-SEP-12,06-SEP-12,44.9777,-66.7757,44.9977,-66.7592,72.60336002241992,48.46320001496544,2.4,,
"BOF2012001",11,"B",07-SEP-12,07-SEP-12,45.0781,-66.9442,45.0945,-66.9445,75.16368002321055,56.69280001750674,2.2,,
"BOF2012001",12,"C",07-SEP-12,07-SEP-12,45.02,-67.033,45.0052,-67.0282,24.688800007623904,39.68496001225471,2.2,,
"BOF2014001",1,"B",10-JUL-14,10-JUL-14,45.0685,-66.9462,45.0815,-66.9397,59,64,2.3,69.31,9.59
"BOF2014001",2,"D",10-JUL-14,10-JUL-14,44.9961,-66.7677,44.9831,-66.7842,58,70,2.3,62.35,7.81
"BOF2014001",3,"D",11-JUL-14,11-JUL-14,44.9216,-66.8757,44.9036,-66.8747,113,79,2.4,91.52,8.53
"BOF2014001",4,"C",11-JUL-14,11-JUL-14,44.9765,-67.0297,44.98,-67.0358,75,72,2.3,74,9.79
"BOF2014001",5,"D",31-JUL-14,31-JUL-14,45.003,-66.7872,45.0177,-66.7587,50,43,2.5,46.11,9.82
"BOF2014001",6,"D",31-JUL-14,31-JUL-14,44.9133,-66.8705,44.8936,-66.8869,99,56,2.3,70.76,10.02
"BOF2014001",7,"A",15-AUG-14,15-AUG-14,45.0893,-67.0974,45.0941,-67.1009,26,23,2.4,24.25,12.97
"BOF2014001",8,"C",15-AUG-14,15-AUG-14,45.0014,-67.0022,45.0234,-66.9931,32,24,2.4,27.91,12.18
"BOF2014001",9,"D",15-AUG-14,15-AUG-14,45.0856,-66.9689,45.1053,-66.9739,36,31,2.4,34.77,12.11
"BOF2014001",10,"A",25-AUG-14,25-AUG-14,45.0956,-67.101,45.0891,-67.0981,26,29,2.4,27.81,12.75
