mission,setno,station,scientific_name,common_name,abundance,biomass_g,comments
BOF2009001,2009.001,B,Osmerus mordax,smelt,2,NA,NA
BOF2009001,2009.001,B,Pseudopleuronectes americanus,winter flounder,46,NA,NA
BOF2009001,2009.002,B,Alosa pseudoharengus,alewife,1,NA,NA
BOF2009001,2009.002,B,Aurelia aurita,moon jelly,3408,75710,NA
BOF2009001,2009.002,B,Clupea harengus,herring,3,NA,NA
BOF2009001,2009.002,B,Cucumaria frondosa,orange-footed sea cucumber,264,NA,NA
BOF2009001,2009.002,B,Chloropyhta,Chloropyhta,1,NA,NA
BOF2009001,2009.002,B,Halichondria sp.,Halichondria sp.,1,NA,NA
BOF2009001,2009.002,B,Hemitripterus americanus,sea raven,1,NA,NA
BOF2009001,2009.002,B,Homarus americanus,American lobster,18,NA,NA
BOF2009001,2009.002,B,Isodictya palmata,palmate sponge,2,NA,NA
BOF2009001,2009.002,B,Leucoraja erinacea,little skate,3,NA,NA
BOF2009001,2009.002,B,Merluccius bilinearis,silver hake,30,NA,NA
BOF2009001,2009.002,B,Myoxocephalus octodecemspinosus,longhorn sculpin,6,NA,NA
BOF2009001,2009.002,B,Osmerus mordax,smelt,13,NA,NA
BOF2009001,2009.002,B,Pandalus borealis,northern shrimp,6125,NA,NA
BOF2009001,2009.002,B,Placopecten magellanicus,deep sea scallop,7,NA,NA
BOF2009001,2009.002,B,Pseudopleuronectes americanus,winter flounder,12,NA,NA
BOF2009001,2009.002,B,Rhodophyta,Rhodophyta,1,NA,NA
BOF2009001,2009.002,B,Scophthalmus aquosus,windowpane flounder,1,NA,NA
BOF2009001,2009.002,B,Solaster endeca,smooth sunstar,1,NA,NA
BOF2009001,2009.002,B,Strongylocentrotus droebachiensis,green sea urchin,9,NA,NA
BOF2009001,2009.003,C,Alosa pseudoharengus,alewife,13,NA,NA
BOF2009001,2009.003,C,Clupea harengus,herring,2,NA,NA
BOF2009001,2009.003,C,Cucumaria frondosa,orange-footed sea cucumber,10,NA,NA
BOF2009001,2009.003,C,Cyclopterus lumpus,lumpfish,2,NA,NA
BOF2009001,2009.003,C,Gadus morhua,Atlantic cod,4,NA,NA
BOF2009001,2009.003,C,Hemitripterus americanus,sea raven,2,NA,NA
BOF2009001,2009.003,C,Homarus americanus,American lobster,29,NA,NA
BOF2009001,2009.003,C,Leucoraja erinacea,little skate,20,NA,NA
BOF2009001,2009.003,C,Leucoraja ocellata,winter skate,2,NA,NA
BOF2009001,2009.003,C,Merluccius bilinearis,silver hake,47,NA,NA
BOF2009001,2009.003,C,Myoxocephalus octodecemspinosus,longhorn sculpin,1,NA,NA
BOF2009001,2009.003,C,Osmerus mordax,smelt,37,NA,NA
BOF2009001,2009.003,C,Pseudopleuronectes americanus,winter flounder,15,NA,NA
BOF2009001,2009.003,C,Solaster endeca,smooth sunstar,1,NA,NA
BOF2009001,2009.003,C,Strongylocentrotus droebachiensis,green sea urchin,3,NA,NA
BOF2009001,2009.003,C,Triglops sp.,triglops sp.,1,NA,NA
BOF2009001,2009.004,A,Alosa pseudoharengus,alewife,2,NA,NA
BOF2009001,2009.004,A,Amaroucium sp.,sea pork,3,NA,NA
BOF2009001,2009.004,A,Asterias vulgaris,northern sea star,5,NA,NA
BOF2009001,2009.004,A,Aurelia aurita,moon jelly,852,18927,NA
BOF2009001,2009.004,A,Boltenia ovifera,stalked sea squirt,464,NA,NA
BOF2009001,2009.004,A,Ciona intestinalis,sea vase,1,NA,NA
BOF2009001,2009.004,A,Clupea harengus,herring,1,NA,NA
BOF2009001,2009.004,A,Cucumaria frondosa,orange-footed sea cucumber,4,NA,NA
BOF2009001,2009.004,A,Cyclopterus lumpus,lumpfish,1,NA,NA
BOF2009001,2009.004,A,Didemnum sp.,colonial tunicate,1,NA,NA
BOF2009001,2009.004,A,Gadus morhua,Atlantic cod,1,NA,NA
BOF2009001,2009.004,A,Harmothoe imbricata,15-scale worm,1,NA,NA
BOF2009001,2009.004,A,Henricia sanguinolenta,blood star,1,NA,NA
BOF2009001,2009.004,A,Homarus americanus,American lobster,10,NA,NA
BOF2009001,2009.004,A,Isodictya palmata,palmate sponge,1,NA,NA
BOF2009001,2009.004,A,Lebbeus groenlandicus,Greenland shrimp,1,NA,NA
BOF2009001,2009.004,A,Leucoraja erinacea,little skate,3,NA,NA
BOF2009001,2009.004,A,Merluccius bilinearis,silver hake,13,NA,NA
BOF2009001,2009.004,A,Osmerus mordax,smelt,12,NA,NA
BOF2009001,2009.004,A,Pandalus montagui,Montague shrimp,155,NA,NA
BOF2009001,2009.004,A,Placopecten magellanicus,deep sea scallop,7,NA,NA
BOF2009001,2009.004,A,Pseudopleuronectes americanus,winter flounder,18,NA,NA
BOF2009001,2009.004,A,Urticina felina,northern red anemone,3,NA,NA
BOF2009001,2009.005,C,Asterias vulgaris,northern sea star,4,NA,NA
BOF2009001,2009.005,C,Boltenia ovifera,stalked sea squirt,32,NA,NA
BOF2009001,2009.005,C,Clupea harengus,herring,613,NA,NA
BOF2009001,2009.005,C,Cucumaria frondosa,orange-footed sea cucumber,1,NA,NA
BOF2009001,2009.005,C,Homarus americanus,American lobster,14,NA,NA
BOF2009001,2009.005,C,Merluccius bilinearis,silver hake,49,NA,NA
BOF2009001,2009.005,C,Myoxocephalus octodecemspinosus,longhorn sculpin,1,NA,NA
BOF2009001,2009.005,C,Osmerus mordax,smelt,110,NA,NA
BOF2009001,2009.005,C,Pandalus borealis,northern shrimp,5,NA,NA
BOF2009001,2009.005,C,Peprilus triacanthus,butterfish,1,NA,NA
BOF2009001,2009.005,C,Placopecten magellanicus,deep sea scallop,3,NA,NA
BOF2009001,2009.005,C,Pseudopleuronectes americanus,winter flounder,82,NA,NA
BOF2009001,2009.005,C,Urophycis tenuis,white hake,2,NA,NA
BOF2009001,2009.006,B,Alosa pseudoharengus,alewife,2,NA,NA
BOF2009001,2009.006,B,Aurelia aurita,moon jelly,74,1629,NA
BOF2009001,2009.006,B,Clupea harengus,herring,154,NA,NA
BOF2009001,2009.006,B,Homarus americanus,American lobster,83,NA,NA
BOF2009001,2009.006,B,Isodictya palmata,palmate sponge,4,NA,NA
BOF2009001,2009.006,B,Merluccius bilinearis,silver hake,1,NA,NA
BOF2009001,2009.006,B,Osmerus mordax,smelt,36,NA,NA
BOF2009001,2009.006,B,Pandalus borealis,northern shrimp,4,NA,NA
BOF2009001,2009.006,B,Peprilus triacanthus,butterfish,83,NA,NA
BOF2009001,2009.006,B,Placopecten magellanicus,deep sea scallop,3,NA,NA
BOF2009001,2009.006,B,Pseudopleuronectes americanus,winter flounder,31,NA,NA
BOF2009001,2009.006,B,Strongylocentrotus droebachiensis,green sea urchin,1,NA,NA
BOF2009001,2009.006,B,Urophycis tenuis,white hake,4,NA,NA
BOF2009001,2009.007,B,Alosa pseudoharengus,alewife,6,NA,NA
BOF2009001,2009.007,B,Aurelia aurita,moon jelly,20,444,NA
BOF2009001,2009.007,B,Cucumaria frondosa,orange-footed sea cucumber,345,NA,NA
BOF2009001,2009.007,B,Hemitripterus americanus,sea raven,7,NA,NA
BOF2009001,2009.007,B,Homarus americanus,American lobster,74,NA,NA
BOF2009001,2009.007,B,Doryteuthis pealeii,longfin inshore squid,1,NA,NA
BOF2009001,2009.007,B,Lebbeus groenlandicus,Greenland shrimp,1,NA,NA
BOF2009001,2009.007,B,Leucoraja erinacea,little skate,18,NA,NA
BOF2009001,2009.007,B,Leucoraja ocellata,winter skate,1,NA,NA
BOF2009001,2009.007,B,Merluccius bilinearis,silver hake,91,NA,NA
BOF2009001,2009.007,B,Myoxocephalus octodecemspinosus,longhorn sculpin,14,NA,NA
BOF2009001,2009.007,B,Osmerus mordax,smelt,32,NA,NA
BOF2009001,2009.007,B,Pandalus borealis,northern shrimp,9187,NA,NA
BOF2009001,2009.007,B,Pandalus montagui,Montague shrimp,279,NA,NA
BOF2009001,2009.007,B,Peprilus triacanthus,butterfish,5,NA,NA
BOF2009001,2009.007,B,Placopecten magellanicus,deep sea scallop,82,NA,NA
BOF2009001,2009.007,B,Pseudopleuronectes americanus,winter flounder,35,NA,NA
BOF2009001,2009.007,B,Rhodophyta,Rhodophyta,1,NA,NA
BOF2009001,2009.007,B,Scophthalmus aquosus,windowpane flounder,1,NA,NA
BOF2009001,2009.007,B,Solaster endeca,smooth sunstar,1,NA,NA
BOF2009001,2009.007,B,Strongylocentrotus droebachiensis,green sea urchin,14,NA,NA
BOF2009001,2009.007,B,Urophycis tenuis,white hake,13,NA,NA
BOF2011001,2011.001,B,Ctenodiscus crispatus,mud star,4,4,NA
BOF2011001,2011.001,B,Cucumaria frondosa,orange-footed sea cucumber,4,1650,NA
BOF2011001,2011.001,B,Glyptocephalus cynoglossus,witch flounder,1,13,NA
BOF2011001,2011.001,B,Hippoglossoides platessoides,American plaice,1,77,NA
BOF2011001,2011.001,B,Homarus americanus,American lobster,76,37188,NA
BOF2011001,2011.001,B,Doryteuthis pealeii,longfin inshore squid,3,76,NA
BOF2011001,2011.001,B,Isodictya palmata,palmate sponge,1,281,NA
BOF2011001,2011.001,B,Leucoraja erinacea,little skate,1,850,NA
BOF2011001,2011.001,B,Lunatia heros,northern moon snail,1,68,NA
BOF2011001,2011.001,B,Merluccius bilinearis,silver hake,50,2824,NA
BOF2011001,2011.001,B,Myoxocephalus octodecemspinosus,longhorn sculpin,39,7585,NA
BOF2011001,2011.001,B,Osmerus mordax,smelt,100,3648,NA
BOF2011001,2011.001,B,Pandalus borealis,northern shrimp,3104,41750,NA
BOF2011001,2011.001,B,Peprilus triacanthus,butterfish,6,211,NA
BOF2011001,2011.001,B,Placopecten magellanicus,deep sea scallop,4,15,NA
BOF2011001,2011.001,B,Pseudopleuronectes americanus,winter flounder,156,14131,NA
BOF2011001,2011.001,B,Scophthalmus aquosus,windowpane flounder,2,322,NA
BOF2011001,2011.001,B,Urophycis tenuis,white hake,8,372,NA
BOF2011001,2011.002,C,Alosa pseudoharengus,alewife,2,136,NA
BOF2011001,2011.002,C,Asterias vulgaris,northern sea star,13,684,NA
BOF2011001,2011.002,C,Aurelia aurita,moon jelly,1,89,NA
BOF2011001,2011.002,C,Clinocardium ciliatum,Iceland cockle,1,10,NA
BOF2011001,2011.002,C,Clupea harengus,herring,408,14770,NA
BOF2011001,2011.002,C,Ctenodiscus crispatus,mud star,6,45,NA
BOF2011001,2011.002,C,Cuaudina arenata,rat-tailed sea cucumber,1,25,NA
BOF2011001,2011.002,C,Cucumaria frondosa,orange-footed sea cucumber,1,280,NA
BOF2011001,2011.002,C,Phaeophyta,Phaeophyta,1,27,NA
BOF2011001,2011.002,C,Henricia sanguinolenta,blood star,1,11,NA
BOF2011001,2011.002,C,Homarus americanus,American lobster,41,20362,NA
BOF2011001,2011.002,C,Isodictya palmata,palmate sponge,7,501,NA
