mission,setno,station,time_start,time_finish,longitude_start,latitude_start,longitude_finish,latitude_finish,depth_start_m,depth_finish_m,speed_k,depth_trawl_ave_m,temp_trwl_ave_c,total_time_trawled
BOF2009001,2009.001,B,2009-07-09 10:04:00,2009-07-09 10:29:00,-66.9293,45.1168,-66.945,45.1266,12,15,259.5699259180541,NA,NA,25
BOF2009001,2009.002,B,2009-07-09 11:50:00,2009-07-09 12:20:00,-66.9474,45.0877,-66.9381,45.0732,56,86,145.86764163374423,NA,NA,30
BOF2009001,2009.003,C,2009-07-10 09:27:00,2009-07-10 09:57:00,-67.0116,44.997,-67.0204,44.9817,46,44,142.38850338596797,NA,NA,30
BOF2009001,2009.004,A,2009-07-10 11:43:00,2009-07-10 11:54:00,-67.1081,45.1056,-67.1112,45.1112,29,30,138.3307071863799,NA,NA,11
BOF2009001,2009.005,C,2009-07-10 01:08:00,2009-07-10 01:38:00,-67.0548,45.03,-67.0422,45.0157,32,45,184.42846558083096,NA,NA,30
BOF2009001,2009.006,B,2009-08-14 09:53:00,2009-08-14 10:24:00,-66.9342,45.1174,-66.9535,45.1287,15,16,256.4509691076996,NA,NA,31
BOF2009001,2009.007,B,2009-08-14 11:42:00,2009-08-14 12:17:00,-66.9446,45.0867,-66.9344,45.0678,55,68,144.62241827844676,NA,NA,35
BOF2011001,2011.001,B,2011-07-21 09:47:00,2011-07-21 10:21:00,-66.9504,45.0837,-66.9716,45.0994,56,32,260.65517449899306,41.89,10.95,34
BOF2011001,2011.002,C,2011-07-21 13:25:00,2011-07-21 13:55:00,-67.0397,45.0183,-67.0265,45.0507,36,20,244.7236546274256,26.7,11.18,30
BOF2011001,2011.003,A,2011-07-22 11:28:00,2011-07-22 11:58:00,-67.0848,45.0655,-67.07,45.0499,24,26,214.13791469583137,25.51,11.19,30
BOF2011001,2011.004,A,2011-07-22 13:02:00,2011-07-22 13:32:00,-67.119,45.1216,-67.107,45.1058,25,27,180.4627377635168,26.25,11.64,30
BOF2011001,2011.005,B,2011-08-18 09:22:00,2011-08-18 09:52:00,-66.9578,45.0695,-66.9584,45.0909,47,39,112.49552992685352,46.9,12.43,30
BOF2011001,2011.006,D,2011-08-18 13:26:00,2011-08-18 13:56:00,-66.775,44.9985,-66.7483,44.9874,55,64,362.08986024098976,58.07,10,30
BOF2011001,2011.007,B,2011-08-19 09:35:00,2011-08-19 09:56:00,-66.9256,45.1154,-66.944,45.1145,10,16,351.83347016203925,12.49,12.76,21
BOF2011001,2011.008,C,2011-08-19 11:05:00,2011-08-19 11:35:00,-67.0473,45.0334,-67.0293,45.0393,23,19,242.85370048328096,21.09,12.57,30
